,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,correction
ROMSEE,5.660362327408638,50.61393267752884,91752661.0,Polygon,220 kV Romsée,220000;150000,,,
AFTAKKING ZUTTENDAAL 380kV,5.5440375,50.9078352,249845893.0,Polygon,,380000,Elia,No 100% match,That is really a junction without a substation
REPIQUAGE SART-TILMAN 220kV,5.559773,50.59034,9415586.0,Polygon,,70000,Elia,No 100% match,"It is the closest station, although is 70 kV and does not seem to be connected to the 220 kV lines."
REPIQUAGE LATOUR 220kV,5.585294800911678,49.54872558878277,161224164.0,Polygon,Latour,220000,Elias,No 100% match,
AFTAKKING RODENHUIZE 380kV,3.775457721152889,51.13209367371249,87763325.0,Polygon,Rodenhuize,380000;150000,,No 100% match,
BERNEAU,5.71692,50.7431,1001478336.0,Polygon,Longue Vue,220000;33000,Elia,No 100% match,"We identify these two stations, since it seems the closest possibility"
REPIQUAGE MARCOURT 220kV,5.550057706299299,50.21003502026023,92015823.0,Polygon,Marcourt,220000,Elias,No 100% match,
LE VAL,5.492669429153362,50.60421604031001,103041283.0,Polygon,Le Val,220000,Elias,,
AVELGEM,3.4692454848280114,50.782568089072434,87529551.0,Polygon,Avelgem,380000,Elia,,
ANDRE DUMONT,5.486222331345051,50.93932316871577,457635067.0,Polygon,André Dumont,380000;150000,Elia,,
ACHENE SNCB,5.055392001183921,50.26052410417064,88373135.0,Polygon,Achêne,380000;70000,Elia,,
GEZELLE,3.201002691788532,51.26361549840036,432647374.0,Polygon,Gezelle,380000,Elia,,
VERBRANDE BRUG,4.420362848942681,50.943240265724775,23208935.0,Polygon,Verbrande Brug,380000;150000,Elias,,
ZANDVLIET,4.248174474717694,51.36956684715296,23136343.0,Polygon,Zandvliet,380000;150000,Elia,,
ST-MARD SNCB,5.514226583194213,49.55130883534023,121085954.0,Polygon,Saint-Mard,220000,Elias,No 100% match,
ST-MARD,5.514226583194213,49.55130883534023,121085954.0,Polygon,Saint-Mard,220000,Elias,No 100% match,
ROUVROY,5.506537603202952,49.54942751825492,121085955.0,Polygon,Rouvroy,220000,Elias,,
VILLEROUX,5.662765659211863,49.975636707264535,92007188.0,Polygon,Villeroux,220000;70000,,,
STEVIN,3.1838922634309696,51.32595499360961,392090271.0,Polygon,Stevin,380000;220000;150000,Elia,,
MEERHOUT,5.063332125275378,51.10726015525501,87807194.0,Polygon,Meerhout,380000;150000,Elia,,
LINT,4.50867755601603,51.1176661662094,16584741.0,Polygon,Lint,380000;150000,Elia,,
IZEGEM,3.22668259225484,50.89803254705817,93056461.0,Polygon,Izegem,380000;150000;70000,Elia,,
AWIRS,5.415011903096676,50.58458329274237,24552827.0,Polygon,Awirs,220000;150000,,,
TIHANGE BIS,5.268948020506302,50.53469527945093,104524889.0,Polygon,Tihange,380000,Elias,No 100% match,
GRAMME,5.286950325980316,50.51204012269951,87772591.0,Polygon,Poste Elia Gramme,380000;150000,Elia,,
LA TROQUE,5.49638570603546,50.60273511412979,204940263.0,Polygon,La Troque,220000,Elias,,
HORTA,3.60457110445981,51.11472029141659,495688597.0,Polygon,Horta,380000,Elia,,
LATOUR,5.585294800911678,49.54872558878277,161224164.0,Polygon,Latour,220000,Elias,,
MAERLANT,3.315546586219214,51.22725327478101,495688586.0,Polygon,Van Maerlant,380000,Elia,No 100% match,
BELVAL,5.947876,49.510157,387620061.0,Polygon,Belval,220000,Elia,No 100% match,In Luxemburg
OFFSHORE SWITCHYARD,2.9915000000000043,51.51349999999988,6710858402.0,Point,Norther Offshore Substation,220000;33000,,No 100% match,
LIXHE,5.668085597561935,50.75438286200539,23141556.0,Polygon,380 kV Lixhe,380000;220000,,,
REPIQUAGE ST-AMAND 380kV,4.5265341,50.4946937,1138687359.0,Polygon,,380000,Elia,No 100% match,That is really a junction without a substation
BRUEGEL,4.231652735726669,50.88096343870188,23175771.0,Polygon,380kV Bruegel,380000,,,
