,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
Dettingen,8.989507368655055,50.060279806954206,42372159.0,Polygon,Umspannwerk Dettingen,380000;110000,Amprion,Duplicated OSM name: 42372159 42372159 ,,
Asslar,8.480095303151472,50.59092047264495,24536211.0,Polygon,Umspannwerk Aßlar,380000;110000,E.ON Mitte AG,,,
Guetersloh,8.364229604054682,51.92712243101322,26383042.0,Polygon,Gütersloh,380000;220000;110000;10000,Amprion;Westnetz,,,
Y-Simbach,13.002766136405272,48.26199911816354,91086220.0,Polygon,Umspannwerk Simbach,220000;110000,TenneT TSO GmbH;Bayernwerk Netz GmbH,,,
Trennfeld,9.594301678728598,49.79844273337369,24765111.0,Polygon,Umspannwerk Trennfeld,220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,,
Oberhaid,10.836015793654498,49.92806742632903,24757833.0,Polygon,Umspannwerk Oberhaid,380000,TenneT TSO GmbH,,,
Altenfeld,10.991452474308474,50.57344666551187,149256409.0,Polygon,Umspannwerk Altenfeld,380000,50Hertz Transmission,,,
Wuergassen,9.387640755119836,51.64073490727599,274630377.0,Polygon,Würgassen,380000;220000;110000,Tennet TSO,,,
Jardelund,9.19699946634295,54.85109805411647,301158539.0,Polygon,Jardelund,380000;110000;20000,TenneT,,,
Itzehoe/W,9.44963658650488,53.967286516173296,60032354.0,Polygon,Itzehoe/West,220000;110000,TenneT,,,
Unterweser,8.474707083954417,53.42865120708024,32076853.0,Polygon,Unterweser,380000;220000;110000,Avacon Netz GmbH,,Multiple matches,
Meissen,8.959009455774234,52.27852956146906,23135618.0,Polygon,Umspannwerk Meißen,220000;110000,EON_WestfalenWeser,,,
Gleidingen,10.419540694264262,52.23696069492367,30017786.0,Polygon,Gleidingen 220 kV,220000,TenneT,,,
Kriftel,8.47176344120472,50.097320201880926,38661452.0,Polygon,Umspannwerk Kriftel,380000;110000,Amprion,,,
Goettingen,9.882236528721023,51.51543259723422,802246764.0,Polygon,Göttingen,220000,TenneT TSO GmbH,,,
Y-Voerden,9.228111325885983,51.81245400359613,42681484.0,Polygon,Vörden,380000;110000,TenneT TSO GmbH;Westfalen Weser Netz,,,
Schwandorf,12.082254499689906,49.29744774703726,28956649.0,Polygon,Schwandorf,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,,
