,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2,correction
Niederstotzingen,10.231685596696485,48.52985210302213,31105067.0,Polygon,Umspannwerk Niederstotzingen,380000;110000,EnBW,,,
Y-Gurtweil,8.25192554404731,47.63976982653145,31367937.0,Polygon,Umspannwerk Gurtweil,220000;110000,TransnetBW,,,
Y-Daxlanden,8.313340225406092,49.00904347266116,152261133.0,Polygon,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,No 100% match,,
Bruchsal/Kaendelweg,8.56214363380266,49.13293039733952,254326606.0,Polygon,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,No 100% match,,
Goldshoefe,10.117398458701354,48.89713778809893,42050342.0,Polygon,Umspannwerk Goldshöfe,380000;220000;110000,Transnet BW GmbH,,,
Y-Oberjettingen,8.78515377195322,48.5836217465712,26814283.0,Polygon,Umspannwerk Oberjettingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Y-Dellmensingen,9.88550887153552,48.304069672493554,41389594.0,Polygon,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Neurott,8.623206227427861,49.35658185285739,207248812.0,Polygon,Neurott,380000;220000,TransnetBW GmbH,,,
Herbertingen,9.4253440768066,48.0644397251101,25306752.0,Polygon,Umspannwerk Herbertingen,380000;220000;110000,EnBW,,,
Wendlingen,9.400581833298013,48.6669673874439,26260052.0,Polygon,Umspannwerk Wendlingen,380000;220000;110000,TransnetBW GmbH,,,
Weinheim,8.626971452074308,49.54360111670487,160929097.0,Polygon,Umspannwerk Weinheim,220000;110000,,,,
Endersbach,9.377588757620796,48.81260496581383,48428875.0,Polygon,Umspannwerk Endersbach,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Y-Endersbach,9.377588757620796,48.81260496581383,48428875.0,Polygon,Umspannwerk Endersbach,380000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Marbach,9.23628399117126,48.926853226087786,97825259.0,Polygon,Umspannwerk Marbach,220000;110000,Netze BW GmbH;TransnetBW GmbH,,,
Gurtweil,8.25192554404731,47.63976982653145,31367937.0,Polygon,Umspannwerk Gurtweil,220000;110000,TransnetBW,,,
Villingen,8.465429838607882,48.04352365086096,42049947.0,Polygon,Umspannwerk Villingen,380000;110000,EnBW; Energiedienst,,,
Engstlatt,8.872879113129205,48.31008720391456,42736239.0,Polygon,Umspannwerk Engstlatt,380000,Netze BW GmbH;TransnetBW GmbH,,,
Y-Altlussheim,8.51209928189322,49.2940001929068,154729020.0,Polygon,Umspannwerk Altlußheim,220000;110000,TransnetBW GmbH;Netze BW GmbH,,,
Heidelberg,8.663785196240632,49.360084261103,156676050.0,Polygon,Heidelberg-Süd,220000;110000,Stadtwerke Heidelberg Netze GmbH,No 100% match,,
RDK7,8.304462316862507,49.01154422726595,272646943.0,Polygon,RDK7,380000,EnBW AG,,,
Gruenkraut,9.64534106910626,47.74459749311019,31131325.0,Polygon,380kV-Umspannwerk Grünkraut,380000;110000,,,,
Stockach,9.012744549359214,47.84464188876876,31367936.0,Polygon,Stockach 220kV,220000,Transnet BW GmbH,,,
Karlsruhe,8.4516163672,49.0073965256,32725958.0,Polygon,Umspannwerk Karlsruhe Ost,220000;110000,TransnetBW GmbH,No 100% match,,Because core-tso misses cardinal specification
Birkenfeld,8.641627910762637,48.89007089724193,32966636.0,Polygon,220 kV-Umspannwerk Birkenfeld,220000;110000,EnBW,,,
Kuppenheim,8.248729079824356,48.84631655970329,32151621.0,Polygon,220-kV-Umspannwerk Kuppenheim,220000;110000,,,,
Trossingen,8.616646665739474,48.065976372586505,35954395.0,Polygon,Umspannwerk Trossingen,380000;110000,TransnetBW GmbH,,,
Altlussheim,8.51209928189322,49.2940001929068,154729020.0,Polygon,Umspannwerk Altlußheim,220000;110000,TransnetBW GmbH;Netze BW GmbH,,,
Muehlhausen,9.215650199268996,48.85230535528729,22960899.0,Polygon,Umspannwerk Mühlhausen,380000;110000,Netze BW,,,
Kupferzell,9.694651058409644,49.23258454753508,143854536.0,Polygon,Umspannwerk Kupferzell,380000;110000,Transnet BW GmbH,,,
Obermooweiler,9.801317202345508,47.652504361103794,31131320.0,Polygon,Obermooweiler,380000,Transnet BW,,Duplicated OSM name: 31131320 31131320 ,
Pulverdingen,9.045435450755903,48.902960997054,43688805.0,Polygon,Umspannwerk Pulverdingen,380000;220000;110000,Transnet BW GmbH,,,
Y-Bruchsal/Kaendelweg,8.56214363380266,49.13293039733952,254326606.0,Polygon,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,No 100% match,,
Schwoerstadt,7.842901952780935,47.585851519264594,88901626.0,Polygon,Schwörstadt,380000;110000,,,,
GKMB,8.501808581399136,49.44491154692287,163093653.0,Polygon,GKMB,220000;110000,,,Duplicated OSM name: 163093653 163093653 ,
Weingarten,8.308455420376125,49.25710489415606,259561755.0,Polygon,Weingarten,380000,,,,
