,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Goldshoefe,10.1173984587,48.8971377881,42050342,Umspannwerk Goldshöfe,380000;220000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Oberjettingen,8.785153772,48.5836217466,26814283,Umspannwerk Oberjettingen,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Voehringen,10.082157402,48.2660901729,85523877,Vöhringen Amprion,380000,Amprion,bayern,,
Philippsburg,8.4409458339,49.2502202677,48057110,Philippsburg,380000,Transnet BW GmbH,baden-wuerttemberg,,
Wendlingen,9.4005818333,48.6669673874,26260052,Umspannwerk Wendlingen,380000;220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
Wiesloch,8.6737173596,49.2904394068,46584363,Umspannwerk Wiesloch,380000;220000;110000,EnBW,baden-wuerttemberg,,
GKMB,8.5018085814,49.4449115469,163093653,GKMB,220000;110000,,baden-wuerttemberg,,Duplicated OSM name: 163093653 163093653
Heidelberg,8.6637851962,49.3600842611,156676050,Heidelberg-Süd,220000;110000,Stadtwerke Heidelberg Netze GmbH,baden-wuerttemberg,No 100% match: But correct,
Dellmensingen,9.8855088715,48.3040696725,41389594,Dellmensingen,380000;220000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Bruchsal/Kaendelweg,8.5621436338,49.1329303973,254326606,Umspannwerk Bruchsal-Kändelweg,380000;110000,Netze BW GmbH;TransnetBW GmbH,baden-wuerttemberg,,
Eichstetten,7.7518625524,48.0964057488,87653464,220-kV-Umspannwerk Eichstetten,220000;110000,EnBW,baden-wuerttemberg,Multiple matches: First choice accepted (220 kV),
Heilbronn,9.2088338635,49.1742319593,1038821599,Heilbronn,380000,Transnet BW GmbH,baden-wuerttemberg,,
Y-Hueffenhardt,9.0918353326,49.2946188318,143903369,Umspannwerk Hüffenhardt,380000;220000;110000,,baden-wuerttemberg,,
Y-Hoheneck,9.1907926775,48.914415087,25802269,Amprion Umspannwerk Hoheneck,380000;220000;110000,Amprion GmbH,baden-wuerttemberg,,
Y-Buehl,8.120596018,48.7053687516,39011884,Umspannwerk Bühl,220000;110000,TransnetBW GmbH,baden-wuerttemberg,,
GKN2,9.1773111604,49.0393782259,153328698,Gemeinschaftskraftwerk Neckarwestheim 2 (GKN2),380000,,baden-wuerttemberg,No 100% match: Because core-tso uses only acronym. Corrected.,Duplicated OSM name: 163093653 163093653
Altbach,9.3709192803,48.7191280063,37721677,Umspannwerk Altbach 1,380000;110000,Netze BW,baden-wuerttemberg,No 100% match: But correct,
Karlsruhe,8.4516163672,49.0073965256,32725958,Umspannwerk Karlsruhe Ost,220000;110000,TransnetBW GmbH,baden-wuerttemberg,No 100% match: Because core-tso misses specification. But correct as Karlsruhe Ost,
Y-Altlussheim,8.5120992819,49.2940001929,154729020,Umspannwerk Altlußheim,220000;110000,TransnetBW GmbH;Netze BW GmbH,baden-wuerttemberg,,
Y-Daxlanden,8.3133402254,49.0090434727,152261133,Karlsruhe-Daxlanden,380000;220000;110000,EnBW,baden-wuerttemberg,No 100% match: But correct,
RDK7,8.3044623169,49.0115442273,272646943,RDK7,380000,EnBW AG,baden-wuerttemberg,,
Oberwald,8.4455379867,48.9860892729,32725957,Umspannwerk Oberwald,220000;110000,TransnetBW GmbH;Netze BW GmbH,baden-wuerttemberg,,
Pulverdingen,9.0454354508,48.9029609971,43688805,Umspannwerk Pulverdingen,380000;220000;110000,Transnet BW GmbH,baden-wuerttemberg,,
Birkenfeld,8.6416279108,48.8900708972,32966636,220 kV-Umspannwerk Birkenfeld,220000;110000,EnBW,baden-wuerttemberg,,
