,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,OSM_NUTS1,comment,comment 2
Wustermark,12.9430406136,52.5625656454,27149550,Wustermark,380000,50Hertz Transmission GmbH;E.ON edis AG,brandenburg,,Duplicated OSM name: 27149550 940635545
Reuter,13.2490303428,52.531625101,43163132,Umspannwerk Reuter,380000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,brandenburg,,
Altenfeld,10.9914524743,50.5734466655,149256409,Umspannwerk Altenfeld,380000,50Hertz Transmission,thueringen,,
Eisenach,10.3863463172,51.0021454751,948341123,Eisenach,380000,50Hertz,thueringen,,
Wolmirstedt,11.6401668419,52.26899391,26472665,Umspannwerk Wolmirstedt,380000,50Hertz Transmission GmbH,sachsen-anhalt,,Duplicated OSM name: 26472665 943739676
Freiberg/Nord,13.2555550562,50.9301782675,109917397,Freiberg/Nord (380 kV),380000,50Hertz Transmission,sachsen,No 100% match: But correct,
Marke,12.2616201713,51.740891643,946025110,Umspannwerk Marke,380000,50Hertz Transmission,sachsen-anhalt,,
Görries,11.3705910347,53.6007153886,30040568,Umspannwerk Görries,380000,50Hertz Transmission;WEMAG,mecklenburg-vorpommern,,
Preilack,14.4277195483,51.8892044687,941198517,Umspannwerk Preilack,380000,50Hertz Transmission,brandenburg,,
Hamburg/Nord,9.9840587916,53.7414791124,22720647,Hamburg Nord,380000;220000,50Hertz Transmission,schleswig-holstein,,Duplicated OSM name: 22720647 28008024
Remptendorf - Großschwabhausen,11.6463683228,50.5348779958,128277645,Remptendorf,380000;220000;110000,50Hertz Transmission GmbH,thueringen,"No 100% match: Because actually two substations. Großschwabhausen is treated by core-tso as passing-by, hence we consider the second choice as correct: Remptendorf",
Krümmel,10.4146823399,53.4125906359,23366603,Umspannwerk Krümmel,380000,50Hertz Transmission GmbH,schleswig-holstein,,
Wolkramshausen,10.7346694506,51.440186791,157164284,Wolkramshausen,220000,50Hertz,thueringen,,
Siedenbrünzow,13.143068659,53.9075468128,941453716,Siedenbrünzow,380000,50Hertz Transmission GmbH,mecklenburg-vorpommern,,
Hagenwerder,14.9464820103,51.0625770657,59026005,Hagenwerder,380000;110000,50Hertz,sachsen,,
Güstrow,12.18580203,53.8160283715,32062544,Umspannwerk Güstrow,220000,50Hertz Transmission,mecklenburg-vorpommern,,Duplicated OSM name: 32062544 940920901 942443697
Lüdershagen,13.0787291333,54.2845382204,946710698,Lüdershagen,220000,50Hertz Transmission GmbH;E.DIS Netz GmbH,mecklenburg-vorpommern,,
Pasewalk,14.033684493,53.5075231046,943444232,Pasewalk,220000,50Hertz Transmission GmbH;E.ON edis AG,mecklenburg-vorpommern,,
Perleberg - Putlitz,11.8523405111,53.0868548495,59707532,Umspannwerk Perleberg,380000;110000,50Hertz;EON_Avacon,brandenburg,"No 100% match: Because actually two substations. Putlitz is treated by core-tso as passing-by, hence we consider correct Perleberg",
Klostermansfeld,11.5163247176,51.5839853619,32690742,Umspannwerk Klostermansfeld,380000,50Hertz Transmission,sachsen-anhalt,,
Marzahn,13.5241131506,52.5357936785,22973070,Umspannwerk Marzahn,380000,50Hertz Transmission,brandenburg,,Duplicated OSM name: 22973070 940921737
Hamburg/Ost,10.1582042401,53.5554103315,23583867,Hamburg/Ost,380000,50Hertz Transmission,hamburg,,Duplicated OSM name: 23583867 23583867
Heinersdorf (Abzweig),14.1329451614,52.4430644609,414169327,Umspannwerk Heinersdorf,380000;110000,50Hertz Transmission;EON_edis,brandenburg,No 100% match: But correct,
Thyrow,13.3063406959,52.2308206609,29331499,Umspannwerk Thyrow,220000,50Hertz Transmission,brandenburg,,Duplicated OSM name: 29331499 940470389
