,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2
PETITE-ROSSELLE,6.882409823216308,49.19727966719972,90854143.0,Polygon,Petite Rosselle,225000,RTE,,
CERNAY,4.086372164426284,49.27226778420896,83105240.0,Polygon,Poste électrique de Cernay,225000,RTE,,
MONTLUCON,2.604230087757679,46.32022136121844,70452467.0,Polygon,Poste électrique de Montluçon,225000,RTE,,
MOIMONT,2.529013165334914,49.09104227125581,85339874.0,Polygon,Poste électrique de Moimont,225000;20000,RTE,,
CROISIERE,4.697554834849975,44.27101015553039,278718504.0,Polygon,Sous-station RFF de La Croisière,225000;25000,SNCF,,
GANGES,3.724252490124637,43.94588799387279,121087628.0,Polygon,Poste électrique de Ganges,225000;63000,RTE,,
CORBIERE (LA),-0.4780716853550414,47.48586093801512,154391107.0,Polygon,Poste Électrique de la Corbière,225000;90000,RTE,,
LAVEYRUNE,3.89988835703233,44.620464729263375,590596961.0,Polygon,Laveyrune,225000,RTE,,
ARNAGE,0.1837732034031969,47.92149816896836,28525395.0,Polygon,Poste électrique de Arnage,225000,RTE,,
BELLE-EPINE,-1.753748476462769,48.12830163968706,147394006.0,Polygon,Poste électrique de Belle-Épine,225000,RTE,,
BATZENDORF,7.724372417796836,48.79929535446316,146402374.0,Polygon,Poste électrique de Batzendorf,225000,RTE,,
IZERNORE,5.549946296844681,46.1988352197841,122755047.0,Polygon,Poste électrique d’Izernore,225000;63000,RTE,,
MOUSSEAUX,1.726436805280788,46.81186780762602,117421453.0,Polygon,Poste Électrique de Mousseaux,225000;90000,RTE,,
ST-VICTOR,2.8044044238254044,44.05121202333036,80719004.0,Polygon,Poste électrique de Saint-Victor,225000;63000,RTE,,
TARASCON,1.5973987946250885,42.85152169189055,118400623.0,Polygon,Poste électrique de Tarascon,225000;150000;63000,RTE,,
CHAMPFLEUR,0.1055195377818443,48.37461656931119,112145777.0,Polygon,Poste électrique de Champfleur,225000;90000,RTE,,
STENAY,5.2002322898457,49.50971173442053,147398278.0,Polygon,Poste électrique de Stenay,225000,RTE,,
ENVAL,2.999461434366686,45.76533151592562,136416550.0,Polygon,Poste électrique d'Enval,225000;63000;20000,RTE,,
VARENNES (-SUR-FOUZON),1.5967756894832934,47.19176784016708,138973246.0,Polygon,Poste électrique de Varennes-Sur-Fouzon,225000;90000,RTE,No 100% match,
CARRIERES,2.441358959536228,49.24306512721464,749073921.0,Polygon,Poste électrique de Carrières,225000;63000;20000,RTE,,
