,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
VESLE,4.240553176727982,49.20151866320359,82805188.0,Polygon,Poste électrique de Vesle,400000;225000,RTE,,,
HOUDREVILLE,6.08128431978551,48.52000936395503,295403868.0,Polygon,Poste électrique de Houdreville,400000,RTE,,,
NEOULES,6.02248245756833,43.27631415693423,93189928.0,Polygon,Poste électrique de Neoules,400000;225000,RTE,,,
LESQUIVE,1.2733547589847067,43.816670042353394,49510896.0,Polygon,Poste électrique de Lesquive,400000;225000,RTE,,,
MARSILLON,-0.5954595216219754,43.38588682001813,111414142.0,Polygon,Poste électrique de Marsillon,400000;225000;63000,RTE,,,
LOGELBACH,7.306425645730378,48.08351871761674,118079877.0,Polygon,Poste électrique de Logelbach,400000,RTE,,,
DISTRE,-0.1143216931660334,47.20793098255346,99722046.0,Polygon,Poste électrique de Distré,400000;22500;90000,RTE,,,
AVELIN,3.082279533140609,50.52484805919224,85605950.0,Polygon,Poste électrique d’Avelin,400000;225000,RTE,,,
EGUZON,1.6208896628045963,46.458187012986144,105783300.0,Polygon,Poste Électrique d'Éguzon,400000,RTE,Duplicated OSM name: 105783300 105783305 ,,
TAVEL,4.642847137153885,44.01497155555939,110086345.0,Polygon,Poste électrique de Tavel,400000;225000,RTE,,,
PLESSIS-GASSOT,2.432692731672868,49.03408621262632,82741307.0,Polygon,Poste électrique de Plessis-Gassot,400000;225000,RTE,,,
MANDARINS,1.784397462457035,50.903313258925074,85196424.0,Polygon,Poste électrique des Mandarins,400000;225000;90000,RTE,,,
MERY-SUR-SEINE,3.918310757488438,48.51988021258669,82599261.0,Polygon,Poste électrique de Méry-sur-Seine,400000;225000;90000,RTE,,,
HENRI-PAUL,4.503745403580102,46.74703277706728,318502246.0,Polygon,Poste électrique Henri-Paul,400000;225000;150000;63000;20000,RTE,,,
CIROLLIERS,2.320043572649638,48.551435804478174,24849819.0,Polygon,Poste électrique de Cirolliers,400000;225000,RTE,,,
MAZURES,4.6258856673280455,49.905683046374826,82949228.0,Polygon,Poste électrique des Mazures,400000;225000,RTE,,,
ST-ELOI,3.212238902326972,46.99099999245737,114363583.0,Polygon,Poste électrique de Saint-Eloi,400000;225000;63000,RTE,,,
BOIS-TOLLOT,6.055696675433075,46.250635574838746,26112209.0,Polygon,Poste électrique de Bois-Tollot,400000;63000,RTE,,,
LOUISFERT,-1.4409296791074244,47.68042828738117,114355666.0,Polygon,Poste électrique de Louisfert,400000;90000,RTE,,,
MOULAINE,5.791877339195461,49.48303604963852,225210595.0,Polygon,Poste électrique de Moulaine,400000;225000;63000,RTE,,,
VILLEJUST,2.230281692641983,48.67621085446252,23287448.0,Polygon,Poste électrique de Villejust,400000;225000;90000,RTE,,,
BOISSE (LA),5.0231234950570895,45.838444542938426,24025291.0,Polygon,Poste électrique de La Boisse,400000;225000;63000,RTE,,,
BAYET,3.2951427185564306,46.273059082103984,71933086.0,Polygon,Poste électrique de Bayet,400000;225000;63000,RTE,,,
CHAFFARD (LE),5.122572640814101,45.66217008331114,24020601.0,Polygon,Poste électrique du Chaffard,400000;63000,RTE,,,
GRANDE-ILE,6.0280077621363,45.47076424063732,84182609.0,Polygon,Poste électrique de Grande-Île,400000;225000;63000,RTE,,,
VIGY,6.276941809559523,49.197740072336,81641090.0,Polygon,Poste électrique de Vigy,400000;225000,RTE,,,
ARGOEUVES,2.2500217562979707,49.93963607717353,36805588.0,Polygon,Poste électrique d’Argœuves,400000;225000;90000,RTE,,,
TOLLEVAST,-1.599422142447971,49.594621796305255,85851255.0,Polygon,Poste électrique de Tollevast,400000,RTE,,,
HERSE (LA),2.7021133001425937,49.36070923687737,85335661.0,Polygon,Poste électrique de La Herse,400000;25000,SNCF Réseau,,,
VILLARODIN,6.715242565838555,45.21274929645072,95149719.0,Polygon,Poste électrique de Villarodin,400000,RTE,,,
CLERAC,-0.2506623829574311,45.17794155969335,443975666.0,Polygon,Sous Station SNCF de Clérac,400000,SNCF,,,
PREGUILLAC,-0.6059329950725976,45.67386039951009,105571340.0,Polygon,Poste électrique de Préguillac,400000,RTE,,,
TABARDERIE,2.5350759373560257,47.747013828305775,86342772.0,Polygon,Poste électrique de Tabarderie,400000;225000,RTE,,,
MARLENHEIM,7.526452002189223,48.61184902188621,118086309.0,Polygon,Poste électrique de Marlenheim,400000;225000,RTE,,,
PLAINE HAUTE,-2.8779143117801733,48.42991708436522,86023818.0,Polygon,Poste électrique de Plaine-Haute,400000;225000,RTE,,,
MENUEL,-1.5770848051708313,49.476561559933,85845085.0,Polygon,Poste électrique de Menuel,400000,RTE,,,
CRENEY,4.137695684636618,48.34711693277461,120707003.0,Polygon,Poste électrique de Creney-prés-Troyes 400kV,400000,RTE,,,
PIQUAGE A LA PRAZ-ST-ANDRE,6.583583496069723,45.20533397391629,147132690.0,Polygon,Poste électrique de La Praz Saint-André,400000,RTE,,No 100% match,
