,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment
Pehlin,14.408791013493492,45.35479968835158,96722667.0,Polygon,TS Pehlin,220000,,
Bilice,15.903205806416338,43.75638876298724,162022271.0,Polygon,TS Bilice,220000,HEP,
Ernestinovo,18.663329032177728,45.47318682879246,89823918.0,Polygon,TS Ernestinovo,400000,HEP,
Brinje,15.105266530164664,44.992999965695184,273326173.0,Polygon,RP Brinje,220000,HEP,
Plomin,14.166639020401696,45.13759095068806,210745193.0,Polygon,TS Plomin,220000;110000,,
Meduric,16.91362039685749,45.44808129393217,96704507.0,Polygon,TS Međurić,220000;110000;35000,,
Zakucac,16.70200459001426,43.45514307800336,59683455.0,Polygon,TS HE Zakučac,220000,HOPS,
Senj,14.925104123285363,44.94270937489567,173272584.0,Polygon,TS HE Senj,220000,,
TE Sisak,16.413784818458105,45.45249239916487,170366194.0,Polygon,TS TE Sisak,220000;110000,,
Velebit,15.75469750891626,44.207396032051,163860997.0,Polygon,TS Velebit,400000,,
Tumbri,15.869315524690608,45.68149416498301,89818719.0,Polygon,TS Tumbri,400000;110000,HEP,
Zerjavinec,16.16273069829472,45.8760846741548,89820062.0,Polygon,TS Žerjavinec,400000,,
Konjsko,16.501137760625284,43.6003462830616,43337263.0,Polygon,TS Konjsko,400000;220000;110000,,
VE Padene,16.100797800000045,44.06449495000016,737067003.0,Polygon,TS Pađene,33000;220000,,No 100% match
Melina,14.56404732451698,45.31627413145602,89817617.0,Polygon,TS Melina,400000,HEP,
Mraclin,16.11193172378952,45.66744458983235,89819945.0,Polygon,TS Mraclin,220000,,
