,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment
Paks,18.85821563642812,46.57018986403168,100788162.0,Polygon,Paks 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Tiszalok,21.303437100538225,48.02324952701397,251018026.0,Polygon,Tiszalök 220/132 kV MAVIR alállomás,220000;132000,MAVIR,,
Zuglo,19.133272626871182,47.531655503938126,9470706.0,MultiPolygon,Zugló 220/132 kV MAVIR alállomás,220000;132000,MAVIR; ELMŰ,,
Martonvasar,18.83323232516953,47.33777767794922,100804905.0,Polygon,Martonvásár 400/220 kV MAVIR alállomás,400000;220000,,Duplicated OSM name: 100804905 493695109 ,
Felsozsolca,20.853569324762027,48.12090583849519,155803703.0,Polygon,Felsőzsolca 400/132/35/22 kV MAVIR alállomás,400000;132000;35000;22000,MAVIR,,
God,19.162471390835968,47.69224259917026,100872886.0,Polygon,Göd 400/220/132 kV MAVIR alállomás,400000;220000;132000,MAVIR,,
Szolnok,20.14796206666937,47.205313343459046,252028146.0,Polygon,Szolnok OVIT 400/220/132/22 kV-os MAVIR alállomás,400000;220000;132000;22000,MAVIR,,No 100% match
Jozsa,21.511472988724616,47.61607906521916,293340652.0,Polygon,Debrecen Józsa 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Pecs 1,18.30643160140872,46.07811550643277,33846555.0,Polygon,Pécs 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,No 100% match
Szigetcsep,18.94327397308785,47.27570791492128,503615215.0,Polygon,Szigetcsép 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Bekescsaba,21.014267763435623,46.70685390746817,195168461.0,Polygon,Békéscsaba OVIT 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,No 100% match
Szombathely 1,16.679366460639372,47.23135829661679,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,No 100% match
Perkata,18.753947349999933,47.05271129999999,325372656.0,Polygon,Perkáta 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Liter,18.018333061814506,47.10711850700078,65034002.0,Polygon,Litér 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Sandorfalva,20.12839724058105,46.306351899383536,100962927.0,Polygon,Sándorfalva 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Szabolcsbaka,22.167453464476747,48.14622030522147,859708761.0,Polygon,Szabolcsbáka 750/400 kV MAVIR alállomás,750000;400000,MAVIR,,No 100% match
Kisvarda,22.07470027339691,48.20188863681087,289912792.0,Polygon,Kisvárda OVIT 220/132/25 kV MAVIR–MÁV alállomás,220000;132000;25000,MAVIR;MÁV,,No 100% match
Kerepes,19.328065147539096,47.535983108076906,464834617.0,Polygon,Kerepes 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Gonyu,17.80487082817467,47.7344126500258,142106943.0,Polygon,Gönyü 400kV MAVIR alállomás,400000,MAVIR,,
Gyor,17.693539195106883,47.67317579242803,124244078.0,Polygon,Győr OVIT 400/220/132 kV MAVIR alállomás,400000;220000;132000,MAVIR,,No 100% match
Detk,20.10745092823376,47.77376506083711,251991299.0,Polygon,Detk 220/132 kV-os MAVIR alállomás,220000;132000,MAVIR/Mátrai Erőmű,,
Sajoivanka,20.590938846476742,48.261740339941,167896114.0,Polygon,Sajóivánka 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Heviz,17.17013616035057,46.791092285685394,96705565.0,Polygon,Hévíz 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Dunamenti,18.915690194371404,47.32714136660992,100804921.0,Polygon,Dunamenti 220/132 kV MAVIR alállomás,220000;132000,MAVIR,,
Albertirsa,19.58058961052984,47.22448555178197,142109093.0,Polygon,Albertirsa 400 kV MAVIR alállomás,400000,MAVIR,,
Szombathely,16.679366460639372,47.23135829661679,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Sajoszoged,20.969864222342377,47.94293009073963,155227474.0,Polygon,Sajószöged 400/220/132 kV MAVIR alállomás,400000;220000;132000,MAVIR,,
Szombathely 2,16.679366460639372,47.23135829661679,166155511.0,Polygon,Szombathely 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,No 100% match
Ocsa,19.20642551714037,47.3202394110761,100844170.0,Polygon,Ócsa 220/132 kV MAVIR alállomás,220000;132000,MAVIR,,
Toponar,17.836300454303004,46.41457426774774,113570302.0,Polygon,Toponár 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
Pecs 2,18.30643160140872,46.07811550643277,33846555.0,Polygon,Pécs 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,No 100% match
Oroszlany,18.26802984219658,47.50230244173483,244038276.0,Polygon,Oroszlány 220/132 kV MAVIR alállomás,220000;132000,MAVIR / Vértesi Erőmű,,
Bicske Del,18.65307354749968,47.47303515277703,254847446.0,Polygon,Bicske dél 400/132 kV MAVIR alállomás,400000;132000,MAVIR,,
