,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment
Vijfhuizen,4.695274148112741,52.37368156581639,477949333.0,Polygon,380 kV Vijfhuizen,380000,TenneT,
Doekegat,6.85675724664661,53.451112290243934,700846836.0,Polygon,380 kV Doekegat,380000,TenneT,
Oudehaske,5.87136299827945,52.97329708019365,87358157.0,Polygon,220 kV Oudehaske,220000;110000,TenneT,
Diemen,5.014490574177276,52.33677349073231,934114405.0,Polygon,380 kV Diemen,380000;150000,TenneT,
Meeden,6.946177850535309,53.12400016159359,87342758.0,Polygon,220 kV Meeden,220000;110000,TenneT,Multiple matches
Oostzaan,4.876179972253855,52.42895926281704,22984334.0,Polygon,380 kV Oostzaan,380000;150000,TenneT,
Eemshaven Oost,6.86970542510833,53.43000065272576,129638874.0,Polygon,220 kV Eemshaven Oost,220000,TenneT,
Hessenweg,6.187719767584425,52.53109159318898,87354307.0,Polygon,220 kV Hessenweg,220000,TenneT,
Simonshaven,4.26595844804533,51.839355002701936,146901292.0,Polygon,380 kV Simonshaven,380000,TenneT,
Boxmeer,5.913139492688945,51.63859908145672,157902099.0,Polygon,380 kV Boxmeer,380000;150000,TenneT,
Zwolle,6.190025591932098,52.52989281102856,87354306.0,Polygon,380 kV Zwolle,380000,TenneT,
Bleiswijk,4.530380409753041,52.036224553440654,72888152.0,Polygon,380 kV Bleiswijk,380000;150000,TenneT,
Louwsmeer,5.87556009760766,53.18972181437452,87448633.0,Polygon,220 kV Louwsmeer,220000;110000,TenneT,
Borssele,3.7272019034103874,51.43316524524104,739937233.0,Polygon,380 kV Borssele,380000,TenneT,
Maasbracht,5.9185383760969765,51.148443089299846,162176187.0,Polygon,380 kV Maasbracht,380000,TenneT,
Zeyerveen,6.523975008523219,53.00935325687389,87207800.0,Polygon,220 kV Zeyerveen,220000;110000,TenneT,
Vierverlaten,6.475187920022164,53.211372989998345,87342754.0,Polygon,220 kV Vierverlaten,220000,TenneT,
Eemshaven het Hogeland,6.874131201012767,53.42484849242668,89178675.0,Polygon,380 kV Eemshaven,380000;220000,TenneT,
Dodewaard,5.664012703181911,51.92689587667135,87792499.0,Polygon,380 kV Dodewaard,380000,TenneT,
Hengelo,6.759177535690767,52.24885669448855,83423799.0,Polygon,380 kV Hengelo,380000;110000,TenneT,
Wateringen,4.307034047870904,52.01603292997451,72888154.0,Polygon,380 kV Wateringen,380000;150000,TenneT,
Ens,5.80931175574593,52.617852719053744,87177559.0,Polygon,380 kV Ens,380000;220000;110000,TenneT,
Doetinchem,6.25179744424897,51.98170600817177,723528920.0,Polygon,380 kV Doetinchem,380000;150000,TenneT,
Crayestein,4.747971639910455,51.81374349298678,23135563.0,Polygon,380 kV Crayestein,380000,TenneT,
Beverwijk,4.679291315222507,52.47286560126126,308181656.0,Polygon,380 kV Beverwijk,380000;150000,TenneT,
Breukelen Kortrijk,4.987564850385729,52.16053223641534,480742730.0,Polygon,380 kV Breukelen Kortrijk,380000,TenneT,
Eindhoven,5.532678350605735,51.44650053947552,162179284.0,Polygon,380 kV Eindhoven,380000,TenneT,
Weiwerd,6.956747579336128,53.3033854256264,168037483.0,Polygon,220 kV Weiwerd,220000;110000,TenneT,
Lelystad,5.538853248790463,52.576538681602734,87794279.0,Polygon,380 kV Lelystad,380000;150000,TenneT,
Krimpen a/d IJssel,4.630590254964915,51.914398801531895,165242802.0,Polygon,380 kV Krimpen a/d IJssel,380000,TenneT,
Eemshaven,6.874131201012767,53.42484849242668,89178675.0,Polygon,380 kV Eemshaven,380000;220000,TenneT,
Maasvlakte,4.022624948372896,51.95562064469589,23135714.0,Polygon,380 kV Maasvlakte,380000,TenneT,
Bergum,6.028129702440328,53.21215916659754,87448656.0,Polygon,220 kV Bergum,220000;110000,TenneT,
Eemshaven Oude Schip,6.8623883141327084,53.4359591645332,129638950.0,Polygon,380 kV Eemshaven Oudeschip,380000,TenneT,No 100% match
Robbenplaat,6.8729576773937495,53.42446474118328,168039816.0,Polygon,220 kV Robbenplaat,220000,TenneT,
Rilland,4.218719639684147,51.42385983025403,577158336.0,Polygon,380 kV Rilland,380000,TenneT,
Westerlee,4.223936380608582,51.98245893524174,96382845.0,Polygon,380 kV Westerlee,380000,TenneT,
Geertruidenberg,4.833142729425676,51.70077166754437,23096966.0,Polygon,380 kV Geertruidenberg,380000,TenneT,
