,name,x,y,address
0,ABRAMOWICE PL,22.562247,51.1889143,"Abramowice, Lublin, województwo lubelskie, Polska"
1,ACHENE BE,5.0458772,50.2668644,"Achêne, Ciney, Dinant, Namur, Wallonie, 5590, België / Belgique / Belgien"
2,ACHENE FR,7.62703684254539,48.582112800000004,"Achenheim, Strasbourg, Bas-Rhin, Grand Est, France métropolitaine, 67204, France"
3,ACHENE SNCB BE,5.0458772,50.2668644,"Achêne, Ciney, Dinant, Namur, Wallonie, 5590, België / Belgique / Belgien"
4,ADAMOW PL,22.2623567,51.7436921,"Adamów, gmina Adamów, powiat łukowski, województwo lubelskie, 21-412, Polska"
5,AFTAKKING BUGGENHOUT 380k V BE,4.4112059,50.9496764,"Aftakking Maalbeek, Verbrande Brug, Grimbergen, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1850, België / Belgique / Belgien"
6,AFTAKKING LIEFKENSHOEK 380k V BE,4.4112059,50.9496764,"Aftakking Maalbeek, Verbrande Brug, Grimbergen, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1850, België / Belgique / Belgien"
7,AFTAKKING MEKINGEN 380k V BE,4.4112059,50.9496764,"Aftakking Maalbeek, Verbrande Brug, Grimbergen, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1850, België / Belgique / Belgien"
8,AFTAKKING RODENHUIZE 380k V BE,4.4112059,50.9496764,"Aftakking Maalbeek, Verbrande Brug, Grimbergen, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1850, België / Belgique / Belgien"
9,AFTAKKING ZUTTENDAAL 380k V BE,4.4112059,50.9496764,"Aftakking Maalbeek, Verbrande Brug, Grimbergen, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, 1850, België / Belgique / Belgien"
10,AGASSES LES FR,3.0453255,43.6109518,"Cap des Agasses, Combes, Béziers, Hérault, Occitanie, France métropolitaine, 34240, France"
11,ALBERTVILLE FR,6.3925417,45.6754622,"Albertville, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73200, France"
12,ALBRECHTICE PL,,,
13,ALEGRO CONVERTOR STATION BE,4.2021761,51.0156697,"Alegro, 93, Kerkstraat, Buggenhout, Dendermonde, Oost-Vlaanderen, Vlaanderen, 9255, België / Belgique / Belgien"
14,ALYTUS PL,,,
15,ANDRE DUMONT BE,2.58986,51.1004729,"Dumont, André Dumontlaan, De Panne, Veurne, West-Vlaanderen, Vlaanderen, 8660, België / Belgique / Belgien"
16,ANIOLOW PL,19.3108782,49.6812243,"Anioły, Pewel Ślemieńska, gmina Świnna, powiat żywiecki, województwo śląskie, 34-322, Polska"
17,ARGIA BAYONNE SUD FR,-1.6770141851030689,43.374312599999996,"Argia, Kexiloa, Urrugne, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64700, France"
18,ARGOEUVES FR,2.2422062717327895,49.9394222,"Argœuves, Amiens, Somme, Hauts-de-France, France métropolitaine, 80470, France"
19,ATTAQUES LES FR,1.93483032238188,50.90028265,"Les Attaques, Calais, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62730, France"
